# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jul 12 02:35:08 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
#
pl_name	hostname	st_teff	st_tefferr1	st_tefferr2	st_tefflim	st_rad	st_raderr1	st_raderr2	st_mass	st_masserr1	st_masserr2	st_masslim	st_rotp	st_rotperr1	st_rotperr2	st_rotplim
11 Com b	11 Com	4742.00	100.00	-100.00	0	19.00	2.00	-2.00	2.70	0.30	-0.30	0				
11 Com b	11 Com								2.60	0.40	-0.30	0				
11 UMi b	11 UMi								1.70	0.40	-0.30	0				
11 UMi b	11 UMi	4213.00	46.00	-46.00	0	29.79	2.84	-2.84	2.78	0.69	-0.69	0				
11 UMi b	11 UMi	4340.00	70.00	-70.00	0	24.08	1.84	-1.84	1.80	0.25	-0.25	0				
14 And b	14 And								1.20	0.40	-0.30	0				
14 And b	14 And	4813.00	20.00	-20.00	0	11.00	1.00	-1.00	2.20	0.10	-0.20	0				
14 Her b	14 Her	5314.94	81.56	-81.56	0	1.00	0.02	-0.02	0.97	0.04	-0.04	0				
14 Her b	14 Her								1.00			0				
14 Her b	14 Her	5280.00	163.21	-128.17	0	1.00	0.05	-0.08	0.91	0.14	-0.09	0				
14 Her b	14 Her								0.90			0				
14 Her b	14 Her															
14 Her b	14 Her	5338.00	25.00	-25.00	0	0.93	0.01	-0.01	0.90	0.04	-0.04	0				
14 Her b	14 Her	5255.00	50.00	-50.00	0				0.90			0				
16 Cyg B b	16 Cyg B	5760.00	20.00	-20.00	0				1.00	0.05	-0.05	0				
16 Cyg B b	16 Cyg B	5750.00	8.00	-8.00	0	1.13	0.01	-0.01	1.08	0.04	-0.04	0				
16 Cyg B b	16 Cyg B															
16 Cyg B b	16 Cyg B	5674.00			0				0.99			0				
16 Cyg B b	16 Cyg B	5711.97	93.25	-93.25	0	1.16	0.03	-0.03	0.98	0.04	-0.04	0				
16 Cyg B b	16 Cyg B	5747.00	143.26	-142.80	0	1.13	0.08	-0.05	1.03	0.15	-0.12	0				
17 Sco b	17 Sco	4157.00	11.00	-10.00	0	25.92	0.78	-0.74	1.22	0.13	-0.14	0	329.49	92.40	-92.40	1
18 Del b	18 Del	4979.00	18.00	-18.00	0	8.50			2.30			0				
18 Del b	18 Del								2.10	0.10	-0.10	0				
1RXS J160929.1-210524 b	1RXS J160929.1-210524	4060.00	300.00	-200.00	0				0.85	0.20	-0.10	0				
1RXS J160929.1-210524 b	1RXS J160929.1-210524	4060.00	300.00	-200.00	0				0.85	0.20	-0.10	0				
1RXS J160929.1-210524 b	1RXS J160929.1-210524	3993.00	142.70	-159.97	0	1.31	0.18	-0.10	0.62	0.06	-0.11	0				
1RXS J160929.1-210524 b	1RXS J160929.1-210524	4060.00	300.00	-200.00	0	1.35			0.85	0.20	-0.10	0				
24 Boo b	24 Boo	4893.00	15.00	-15.00	0	10.64	0.84	-0.59	0.99	0.19	-0.13	0				
24 Sex b	24 Sex	5098.00	44.00	-44.00	0	4.90	0.08	-0.08	1.54	0.08	-0.08	0				
24 Sex c	24 Sex	5098.00	44.00	-44.00	0	4.90	0.08	-0.08	1.54	0.08	-0.08	0				
2M0437 b	2MASS J04372171+2651014	3100.00	100.00	-100.00	0	0.84	0.11	-0.11	0.17	0.01	-0.02	0	1.84			0
2MASS J01033563-5515561 AB b	2MASS J01033563-5515561 A								0.19	0.02	-0.02	0				
2MASS J01225093-2439505 b	2MASS J01225093-2439505	3309.00	157.00	-157.00	0	0.37	0.01	-0.01	0.35	0.02	-0.02	0				
2MASS J01225093-2439505 b	2MASS J01225093-2439505	3530.00	50.00	-50.00	0				0.40	0.05	-0.05	0				
2MASS J02192210-3925225 b	2MASS J02192210-3925225	3064.00	76.00	-76.00	0	0.28	0.01	-0.01	0.11	0.01	-0.01	0				
2MASS J04414489+2301513 b	2MASS J04414489+2301513								0.02			0				
2MASS J12073346-3932539 b	2MASS J12073346-3932539								0.02			0				
2MASS J12073346-3932539 b	2MASS J12073346-3932539	2825.00	157.00	-157.00	0	0.22	0.01	-0.01	0.19	0.02	-0.02	0				
2MASS J19383260+4603591 b	2MASS J19383260+4603591	29564.00			0	0.20	0.00	0.00	0.48			0				
2MASS J19383260+4603591 b	2MASS J19383260+4603591								0.48	0.03	-0.03	0				
2MASS J21402931+1625183 A b	2MASS J21402931+1625183 A	2300.00	80.00	-80.00	0	0.12	0.05	-0.04	0.08	0.06	-0.06	0				
2MASS J22362452+4751425 b	2MASS J22362452+4751425	4045.00	35.00	-35.00	0				0.60	0.05	-0.05	0				
30 Ari B b	30 Ari B					1.13	0.03	-0.03	1.16	0.04	-0.04	0				
30 Ari B b	30 Ari B	6300.00	60.00	-60.00	0	1.13	0.03	-0.03	1.16	0.04	-0.04	0				
30 Ari B b	30 Ari B	6331.00	61.00	-61.00	0	1.41	0.05	-0.05	1.93	0.27	-0.27	0				
4 UMa b	4 UMa	4415.00	70.00	-70.00	0	18.11	1.47	-1.47	1.23	0.15	-0.15	0				
42 Dra b	42 Dra	4200.00	70.00	-70.00	0	22.03	1.00	-1.00	0.98	0.05	-0.05	0				
47 UMa b	47 UMa															
47 UMa b	47 UMa															
47 UMa b	47 UMa	5872.00	92.94	-113.53	0	1.21	0.04	-0.06	1.06	0.13	-0.14	0				
47 UMa b	47 UMa	5829.16	94.78	-94.78	0	1.14	0.03	-0.03	1.01	0.05	-0.05	0				
47 UMa b	47 UMa	5882.00	44.00	-44.00	0				1.06	0.03	-0.03	0				
47 UMa c	47 UMa															
47 UMa c	47 UMa	5829.16	94.78	-94.78	0	1.14	0.03	-0.03	1.01	0.05	-0.05	0				
47 UMa c	47 UMa	5872.00	92.94	-113.53	0	1.21	0.04	-0.06	1.06	0.13	-0.14	0				
47 UMa d	47 UMa	5872.00	92.94	-113.53	0	1.21	0.04	-0.06	1.06	0.13	-0.14	0				
47 UMa d	47 UMa	5829.16	94.78	-94.78	0	1.14	0.03	-0.03	1.01	0.05	-0.05	0				
51 Eri b	51 Eri	7295.00	120.09	-98.99	0	1.49	0.05	-0.06	1.65	0.36	-0.18	0				
51 Eri b	51 Eri								1.75	0.05	-0.05	0				
51 Eri b	51 Eri	7295.00	120.09	-98.99	0	1.49	0.05	-0.06	1.65	0.36	-0.18	0				
51 Peg b	51 Peg	5760.76	95.49	-95.49	0	1.19	0.03	-0.03	1.07	0.05	-0.05	0				
51 Peg b	51 Peg								1.04			0				
51 Peg b	51 Peg															
51 Peg b	51 Peg	5758.00	101.62	-119.62	0	1.18	0.07	-0.04	1.03	0.17	-0.09	0				
51 Peg b	51 Peg	5773.00			0	1.29							30.00			0
55 Cnc b	55 Cnc	5317.89	80.51	-80.51	0	0.96	0.02	-0.02	0.97	0.05	-0.05	0				
55 Cnc b	55 Cnc															
55 Cnc b	55 Cnc															
55 Cnc b	55 Cnc								0.95	0.08	-0.08	0				
55 Cnc b	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc b	55 Cnc								0.95			0				
55 Cnc b	55 Cnc								0.95			0	38.50	3.50	-3.50	0
55 Cnc b	55 Cnc	5200.00			0				0.85			0	44.00			0
55 Cnc b	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc b	55 Cnc	5172.00	18.00	-18.00	0	0.94	0.01	-0.01	0.91	0.01	-0.01	0	38.80	0.05	-0.05	0
55 Cnc b	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc b	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc c	55 Cnc	5172.00	18.00	-18.00	0	0.94	0.01	-0.01	0.91	0.01	-0.01	0	38.80	0.05	-0.05	0
55 Cnc c	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc c	55 Cnc	5317.89	80.51	-80.51	0	0.96	0.02	-0.02	0.97	0.05	-0.05	0				
55 Cnc c	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc c	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc c	55 Cnc								0.95			0				
55 Cnc c	55 Cnc								0.95	0.08	-0.08	0				
55 Cnc c	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc d	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc d	55 Cnc	5172.00	18.00	-18.00	0	0.94	0.01	-0.01	0.91	0.01	-0.01	0	38.80	0.05	-0.05	0
55 Cnc d	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc d	55 Cnc								0.95			0				
55 Cnc d	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc d	55 Cnc								0.95			0	38.50	3.50	-3.50	0
55 Cnc d	55 Cnc	5317.89	80.51	-80.51	0	0.96	0.02	-0.02	0.97	0.05	-0.05	0				
55 Cnc d	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc d	55 Cnc								0.95	0.08	-0.08	0				
55 Cnc d	55 Cnc															
55 Cnc e	55 Cnc															
55 Cnc e	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc e	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc e	55 Cnc								0.95	0.08	-0.08	0				
55 Cnc e	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
55 Cnc e	55 Cnc	5234.00	30.00	-30.00	0	0.94	0.01	-0.01	0.91	0.01	-0.01	0				
55 Cnc e	55 Cnc								0.95			0				
55 Cnc e	55 Cnc	5250.00	123.30	-171.85	0	0.96	0.08	-0.05	0.90	0.14	-0.09	0				
