# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jul 12 02:33:05 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rotp:        Stellar Rotational Period [days]
#
pl_name,hostname,st_teff,st_rad,st_mass,st_rotp
11 Com b,11 Com,4742.00,19.00,2.70,
11 Com b,11 Com,,,2.60,
11 UMi b,11 UMi,,,1.70,
11 UMi b,11 UMi,4213.00,29.79,2.78,
11 UMi b,11 UMi,4340.00,24.08,1.80,
14 And b,14 And,,,1.20,
14 And b,14 And,4813.00,11.00,2.20,
14 Her b,14 Her,5314.94,1.00,0.97,
14 Her b,14 Her,,,1.00,
14 Her b,14 Her,5280.00,1.00,0.91,
14 Her b,14 Her,,,0.90,
14 Her b,14 Her,,,,
14 Her b,14 Her,5338.00,0.93,0.90,
14 Her b,14 Her,5255.00,,0.90,
16 Cyg B b,16 Cyg B,5760.00,,1.00,
16 Cyg B b,16 Cyg B,5750.00,1.13,1.08,
16 Cyg B b,16 Cyg B,,,,
16 Cyg B b,16 Cyg B,5674.00,,0.99,
16 Cyg B b,16 Cyg B,5711.97,1.16,0.98,
16 Cyg B b,16 Cyg B,5747.00,1.13,1.03,
17 Sco b,17 Sco,4157.00,25.92,1.22,329.49
18 Del b,18 Del,4979.00,8.50,2.30,
18 Del b,18 Del,,,2.10,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,4060.00,,0.85,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,4060.00,,0.85,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,3993.00,1.31,0.62,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,4060.00,1.35,0.85,
24 Boo b,24 Boo,4893.00,10.64,0.99,
24 Sex b,24 Sex,5098.00,4.90,1.54,
24 Sex c,24 Sex,5098.00,4.90,1.54,
2M0437 b,2MASS J04372171+2651014,3100.00,0.84,0.17,1.84
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,,0.19,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,3309.00,0.37,0.35,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,3530.00,,0.40,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,3064.00,0.28,0.11,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,,0.02,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,,0.02,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,2825.00,0.22,0.19,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,29564.00,0.20,0.48,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,,,0.48,
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,2300.00,0.12,0.08,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,4045.00,,0.60,
30 Ari B b,30 Ari B,,1.13,1.16,
30 Ari B b,30 Ari B,6300.00,1.13,1.16,
30 Ari B b,30 Ari B,6331.00,1.41,1.93,
4 UMa b,4 UMa,4415.00,18.11,1.23,
42 Dra b,42 Dra,4200.00,22.03,0.98,
47 UMa b,47 UMa,,,,
47 UMa b,47 UMa,,,,
47 UMa b,47 UMa,5872.00,1.21,1.06,
47 UMa b,47 UMa,5829.16,1.14,1.01,
47 UMa b,47 UMa,5882.00,,1.06,
47 UMa c,47 UMa,,,,
47 UMa c,47 UMa,5829.16,1.14,1.01,
47 UMa c,47 UMa,5872.00,1.21,1.06,
47 UMa d,47 UMa,5872.00,1.21,1.06,
47 UMa d,47 UMa,5829.16,1.14,1.01,
51 Eri b,51 Eri,7295.00,1.49,1.65,
51 Eri b,51 Eri,,,1.75,
51 Eri b,51 Eri,7295.00,1.49,1.65,
51 Peg b,51 Peg,5760.76,1.19,1.07,
51 Peg b,51 Peg,,,1.04,
51 Peg b,51 Peg,,,,
51 Peg b,51 Peg,5758.00,1.18,1.03,
51 Peg b,51 Peg,5773.00,1.29,,30.00
55 Cnc b,55 Cnc,5317.89,0.96,0.97,
55 Cnc b,55 Cnc,,,,
55 Cnc b,55 Cnc,,,,
55 Cnc b,55 Cnc,,,0.95,
55 Cnc b,55 Cnc,5250.00,0.96,0.90,
55 Cnc b,55 Cnc,,,0.95,
55 Cnc b,55 Cnc,,,0.95,38.50
55 Cnc b,55 Cnc,5200.00,,0.85,44.00
55 Cnc b,55 Cnc,5250.00,0.96,0.90,
55 Cnc b,55 Cnc,5172.00,0.94,0.91,38.80
55 Cnc b,55 Cnc,5250.00,0.96,0.90,
55 Cnc b,55 Cnc,5250.00,0.96,0.90,
55 Cnc c,55 Cnc,5172.00,0.94,0.91,38.80
55 Cnc c,55 Cnc,5250.00,0.96,0.90,
55 Cnc c,55 Cnc,5317.89,0.96,0.97,
55 Cnc c,55 Cnc,5250.00,0.96,0.90,
55 Cnc c,55 Cnc,5250.00,0.96,0.90,
55 Cnc c,55 Cnc,,,0.95,
55 Cnc c,55 Cnc,,,0.95,
55 Cnc c,55 Cnc,5250.00,0.96,0.90,
55 Cnc d,55 Cnc,5250.00,0.96,0.90,
55 Cnc d,55 Cnc,5172.00,0.94,0.91,38.80
55 Cnc d,55 Cnc,5250.00,0.96,0.90,
55 Cnc d,55 Cnc,,,0.95,
55 Cnc d,55 Cnc,5250.00,0.96,0.90,
55 Cnc d,55 Cnc,,,0.95,38.50
55 Cnc d,55 Cnc,5317.89,0.96,0.97,
55 Cnc d,55 Cnc,5250.00,0.96,0.90,
55 Cnc d,55 Cnc,,,0.95,
55 Cnc d,55 Cnc,,,,
55 Cnc e,55 Cnc,,,,
55 Cnc e,55 Cnc,5250.00,0.96,0.90,
55 Cnc e,55 Cnc,5250.00,0.96,0.90,
55 Cnc e,55 Cnc,,,0.95,
55 Cnc e,55 Cnc,5250.00,0.96,0.90,
55 Cnc e,55 Cnc,5234.00,0.94,0.91,
55 Cnc e,55 Cnc,,,0.95,
55 Cnc e,55 Cnc,5250.00,0.96,0.90,
55 Cnc e,55 Cnc,,0.94,0.96,
55 Cnc e,55 Cnc,5250.00,0.96,0.90,
55 Cnc e,55 Cnc,5250.00,0.96,0.90,
55 Cnc e,55 Cnc,5317.89,0.96,0.97,
55 Cnc e,55 Cnc,5172.00,0.94,0.91,38.80
55 Cnc e,55 Cnc,5172.00,0.95,0.87,
55 Cnc f,55 Cnc,5250.00,0.96,0.90,
55 Cnc f,55 Cnc,5250.00,0.96,0.90,
55 Cnc f,55 Cnc,5172.00,0.94,0.91,38.80
55 Cnc f,55 Cnc,5250.00,0.96,0.90,
55 Cnc f,55 Cnc,5250.00,0.96,0.90,
55 Cnc f,55 Cnc,,,0.95,
55 Cnc f,55 Cnc,5317.89,0.96,0.97,
6 Lyn b,6 Lyn,4938.00,5.20,1.44,
6 Lyn b,6 Lyn,,5.20,1.82,
6 Lyn b,6 Lyn,4978.00,5.20,1.70,
61 Vir b,61 Vir,5585.57,1.03,0.91,
61 Vir b,61 Vir,5577.00,0.96,0.94,
61 Vir c,61 Vir,5577.00,0.96,0.94,
61 Vir c,61 Vir,5585.57,1.03,0.91,
61 Vir d,61 Vir,5577.00,0.96,0.94,
7 CMa b,7 CMa,4794.52,4.91,,
7 CMa b,7 CMa,4826.00,4.87,1.34,
7 CMa b,7 CMa,4792.00,2.30,1.52,
7 CMa c,7 CMa,4826.00,4.87,1.34,
70 Vir b,70 Vir,5495.00,1.89,1.09,
70 Vir b,70 Vir,5531.00,1.84,1.14,
70 Vir b,70 Vir,5439.00,1.94,1.09,
70 Vir b,70 Vir,,,,
70 Vir b,70 Vir,5545.00,,1.11,
70 Vir b,70 Vir,5481.86,1.92,1.06,
75 Cet b,75 Cet,4846.00,10.50,2.49,
8 UMi b,8 UMi,4847.40,9.90,1.80,
8 UMi b,8 UMi,4847.00,10.30,1.44,
81 Cet b,81 Cet,,,1.60,
81 Cet b,81 Cet,4785.00,11.00,2.40,
91 Aqr b,91 Aqr,4665.00,11.00,1.40,
AB Aur b,AB Aur,9770.00,,2.40,
AB Pic b,AB Pic,,,,
AU Mic b,AU Mic,3700.00,0.75,0.50,4.86
AU Mic b,AU Mic,,0.75,,4.85
AU Mic b,AU Mic,3700.00,0.75,0.50,4.86
AU Mic b,AU Mic,3700.00,0.75,0.50,4.86
AU Mic b,AU Mic,3700.00,0.75,0.50,4.86
AU Mic b,AU Mic,,,0.50,
AU Mic c,AU Mic,3700.00,0.75,0.50,4.86
AU Mic c,AU Mic,,,0.50,
AU Mic c,AU Mic,3700.00,0.75,0.50,4.86
AU Mic c,AU Mic,,0.75,,4.85
BD+03 2562 b,BD+03 2562,4095.00,32.35,1.14,
BD+14 4559 b,BD+14 4559,5008.00,0.95,0.86,
BD+14 4559 b,BD+14 4559,4864.00,0.86,0.49,
BD+15 2375 b,BD+15 2375,4649.00,8.95,1.08,
BD+15 2940 b,BD+15 2940,4796.00,14.70,1.10,
BD+20 2457 b,BD+20 2457,4259.00,71.02,10.83,
BD+20 2457 b,BD+20 2457,4137.00,49.00,2.80,
